iter	R2	RMSE
0	0.04930192884	0.1386255392
1	0.09753744322	0.1350630454
2	0.1417935504	0.1317097208
3	0.1854347276	0.1283172039
4	0.2248778978	0.1251719455
5	0.2620601311	0.1221328325
6	0.2983135914	0.1190949851
7	0.3326270965	0.1161465267
8	0.3654250936	0.113256566
9	0.3959348022	0.1105003999
10	0.4248873024	0.1078197748
11	0.4522062359	0.1052277984
12	0.4778344505	0.1027368036
13	0.5019078044	0.100340627
14	0.5243565206	0.09805341318
15	0.5458562513	0.09581171464
16	0.56604369	0.09365801433
17	0.585207216	0.09156669485
18	0.6034329457	0.08953240648
19	0.6206688803	0.08756512633
20	0.6369004942	0.08567118439
21	0.6522484796	0.08384100216
22	0.6668609593	0.08206060367
23	0.6804657915	0.08036753015
24	0.69346263	0.07871611573
25	0.7056486638	0.07713561525
26	0.7168011554	0.0756602341
27	0.7278142828	0.0741744967
28	0.7381582682	0.07275140323
29	0.7479862068	0.07137302399
30	0.7571597812	0.0700619547
31	0.7655904234	0.06883504764
32	0.774063934	0.06757946097
33	0.7819918493	0.06638321893
34	0.7894457534	0.06523849664
35	0.7965006241	0.06413623811
36	0.8030797546	0.06309095863
37	0.8093171357	0.0620837263
38	0.8152637565	0.06110798962
39	0.8210711497	0.06013982054
40	0.8264552072	0.05922809109
41	0.8316786508	0.05832994191
42	0.8364914666	0.05748997948
43	0.8409999209	0.05669184777
44	0.8453747361	0.05590648258
45	0.8492863085	0.05519481674
46	0.8531782366	0.05447749882
47	0.8570144581	0.05376108251
