iter	Passed	Remaining
0	84	84553
1	295	147593
2	374	124528
3	571	142331
4	653	129948
5	731	121132
6	947	134425
7	1203	149220
8	1425	156927
9	1616	160035
10	1825	164126
11	2007	165247
12	2211	167898
13	2436	171617
14	2598	170621
15	2851	175377
16	3046	176176
17	3224	175891
18	3411	176158
19	3569	174927
20	3755	175071
21	3931	174784
22	4122	175132
23	4316	175539
24	4506	175769
25	4682	175429
26	4827	173985
27	5016	174147
28	5199	174104
29	5404	174741
30	5590	174735
31	5713	172839
32	5890	172604
33	6088	172991
34	6282	173219
35	6464	173111
36	6673	173690
37	6845	173305
38	7049	173708
39	7265	174367
40	7472	174781
41	7664	174819
42	7843	174574
43	8078	175514
44	8296	176072
45	8492	176127
46	8704	176503
47	8904	176611
